#,First Name,Last Name,Position,Length of service,Salary
1,Mara,Haynes,Receptionist,2004-06-25,4300
2,Nolan,Mahoney,Marketing Manager,2004-07-08,6400
3,August,Manning,Lawyer,2009-09-16,5650
4,Samanta,Southampton,Sales Assistant,2012-06-12,4500
5,Valery,Carr,Sales Assistant,2002-07-10,3700
6,Meredith,Rosario,Lawyer,2006-02-18,5000
7,Max,Duarte,Receptionist,2010-10-01,4500
8,Caitlin,Ashley,Accountant,1997-10-22,3800
9,Jacqueline,Mathis,Lawyer,2008-12-03,4400
10,Kaydence,Harding,CEO,2004-06-24,8000
11,Oliver,Mcdowell,Customer Support,2010-04-22,4900
12,Aniya,Villegas,Receptionist,2013-01-23,2900
13,Clara,Warner,Sales Manager,2009-09-16,3900
